Tag_ID,Deployment_Date,Year,Month,Month_Name,Year_Month,Latitude,Longitude
mn150321-3,2015-03-21,2015,3,March,2015-03,-62.1889,-64.6486
mn150321-5,2015-03-21,2015,3,March,2015-03,-62.1889,-64.6486
mn160113-11,2016-01-13,2016,1,January,2016-01,-64.2483,-64.905
mn170218-31,2017-02-18,2017,2,February,2017-02,-64.1224,-65.1732
mn170320-30,2017-03-20,2017,3,March,2017-03,-62.6119,-64.6342
mn180105-22b,2018-01-05,2018,1,January,2018-01,-64.2801,-64.901
mn180106-27,2018-01-06,2018,1,January,2018-01,-64.4423,-64.886
mn180107-21,2018-01-07,2018,1,January,2018-01,-64.1807,-64.9422
mn180107-22,2018-01-07,2018,1,January,2018-01,-64.1747,-64.9403
mn180107-23,2018-01-07,2018,1,January,2018-01,-64.0549,-64.9766
mn180125-42,2018-01-25,2018,1,January,2018-01,-63.5083,-64.9836
mn180227-40,2018-02-27,2018,2,February,2018-02,-62.6962,-64.799
mn180227-41,2018-02-27,2018,2,February,2018-02,-62.7226,-64.7855
mn180227-43,2018-02-27,2018,2,February,2018-02,-62.6959,-64.7976
mn180227-44,2018-02-27,2018,2,February,2018-02,-62.7012,-64.795
mn180227-45,2018-02-27,2018,2,February,2018-02,-62.7179,-64.7958
mn180227-46,2018-02-27,2018,2,February,2018-02,-62.6991,-64.793
mn180227-47,2018-02-27,2018,2,February,2018-02,-62.7165,-64.7868
mn180228-47,2018-02-28,2018,2,February,2018-02,-62.6551,-64.8394
mn180302-27,2018-03-02,2018,3,March,2018-03,-62.72,-64.8034
mn190106-40,2019-01-06,2019,1,January,2019-01,-64.1876,-64.9157
mn190203-22,2019-02-03,2019,2,February,2019-02,-64.2761,-64.9719
mn190203-23,2019-02-03,2019,2,February,2019-02,-64.2781,-64.9788
mn190205-27,2019-02-05,2019,2,February,2019-02,-64.1098,-64.7471
mn190205-40,2019-02-05,2019,2,February,2019-02,-64.1161,-64.7607
mn190212-27,2019-02-12,2019,2,February,2019-02,-64.0996,-64.7768
mn190212-40,2019-02-12,2019,2,February,2019-02,-64.1033,-64.7767
mn190215-40,2019-02-15,2019,2,February,2019-02,-64.1437,-64.7561
mn190225-40,2019-02-25,2019,2,February,2019-02,-62.7565,-64.8028
mn190225-44,2019-02-25,2019,2,February,2019-02,-62.7517,-64.8077
mn190228-42,2019-02-28,2019,2,February,2019-02,-62.4888,-64.8779
mn190228-44,2019-02-28,2019,2,February,2019-02,-62.4888,-64.8779
mn190301-44,2019-03-01,2019,3,March,2019-03,-62.5567,-64.8956
mn190304-40,2019-03-04,2019,3,March,2019-03,-62.547,-64.8474
mn190304-42,2019-03-04,2019,3,March,2019-03,-62.5787,-64.859
mn190305-44,2019-03-05,2019,3,March,2019-03,-62.5365,-64.8638
mn190306-42,2019-03-06,2019,3,March,2019-03,-62.6526,-64.8328
mn190306-45,2019-03-06,2019,3,March,2019-03,-62.6192,-64.8269
mn190309-44b,2019-03-09,2019,3,March,2019-03,-62.5385,-64.8623
mn200105-42,2020-01-05,2020,1,January,2020-01,-64.2291,-64.7759
mn200105-52,2020-01-05,2020,1,January,2020-01,-64.2141,-64.7681
mn200105-53,2020-01-05,2020,1,January,2020-01,-64.2382,-64.8496
mn200108-52,2020-01-08,2020,1,January,2020-01,-63.9719,-64.8373
mn200108-53,2020-01-08,2020,1,January,2020-01,-63.9545,-64.8391
mn200124-42,2020-01-24,2020,1,January,2020-01,-64.1203,-64.7525
mn200204-44,2020-02-04,2020,2,February,2020-02,-64.1971,-64.9048
mn200204-52,2020-02-04,2020,2,February,2020-02,-64.19,-64.8928
mn200219-52,2020-02-19,2020,2,February,2020-02,-64.0809,-64.7838
mn200312-58,2020-03-12,2020,3,March,2020-03,-61.6299,-64.5042
mn200312-71,2020-03-12,2020,3,March,2020-03,-61.6276,-64.4995
mn200313-59,2020-03-13,2020,3,March,2020-03,-61.6429,-64.4946
mn200313-60,2020-03-13,2020,3,March,2020-03,-61.6142,-64.5019
mn200313-62,2020-03-13,2020,3,March,2020-03,-61.6417,-64.5348
mn200313-70,2020-03-13,2020,3,March,2020-03,-61.6345,-64.4945
mn200315-54,2020-03-15,2020,3,March,2020-03,-62.2002,-64.6978
mn200315-58,2020-03-15,2020,3,March,2020-03,-61.9919,-64.5738
mn200315-70,2020-03-15,2020,3,March,2020-03,-62.2009,-64.6979
mn200315-71,2020-03-15,2020,3,March,2020-03,-62.0014,-64.5984
mn220221-65,2022-02-21,2022,2,February,2022-02,-63.1551,-64.5406
mn220226-P4,2022-02-26,2022,2,February,2022-02,-62.9583,-64.5139
